Title,Image URL,Price,Short Description,Stock Status,Stock Quantity,SKU,Categories,Tags,Weight,Dimensions,Reviews
Bulbasaur,https://scrapeme.live/wp-content/uploads/2018/08/001.png,£63.00,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",In stock,45,4391,"Categories: Pokemon, Seed","Tags: bulbasaur, Overgrow, Seed",15.2 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Bulbasaur” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Ivysaur,https://scrapeme.live/wp-content/uploads/2018/08/002.png,£87.00,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",In stock,142,7227,"Categories: Pokemon, Seed","Tags: ivysaur, Overgrow, Seed",28.7 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Ivysaur” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Venusaur,https://scrapeme.live/wp-content/uploads/2018/08/003.png,£105.00,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,In stock,30,7036,"Categories: Pokemon, Seed","Tags: Overgrow, Seed, venusaur",220.5 kg,6 x 6 x 6 cm,"Reviews
There are no reviews yet.




Be the first to review “Venusaur” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Charmander,https://scrapeme.live/wp-content/uploads/2018/08/004.png,£48.00,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",In stock,206,9086,"Categories: Lizard, Pokemon","Tags: Blaze, charmander, Lizard",18.7 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Charmander” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Charmeleon,https://scrapeme.live/wp-content/uploads/2018/08/005.png,£165.00,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",In stock,284,6565,"Categories: Flame, Pokemon","Tags: Blaze, charmeleon, Flame",41.9 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Charmeleon” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Charizard,https://scrapeme.live/wp-content/uploads/2018/08/006.png,£156.00,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",In stock,31,8840,"Categories: Flame, Pokemon","Tags: Blaze, Charizard, Flame",199.5 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Charizard” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Squirtle,https://scrapeme.live/wp-content/uploads/2018/08/007.png,£130.00,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",In stock,178,6094,"Categories: Pokemon, Tiny Turtle","Tags: squirtle, Tiny Turtle, Torrent",19.8 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Squirtle” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Wartortle,https://scrapeme.live/wp-content/uploads/2018/08/008.png,£123.00,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",In stock,24,9659,"Categories: Pokemon, Turtle","Tags: Torrent, Turtle, wartortle",49.6 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Wartortle” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Blastoise,https://scrapeme.live/wp-content/uploads/2018/08/009.png,£76.00,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,In stock,88,5212,"Categories: Pokemon, Shellfish","Tags: blastoise, Shellfish, Torrent",188.5 kg,5 x 5 x 5 cm,"Reviews
There are no reviews yet.




Be the first to review “Blastoise” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Caterpie,https://scrapeme.live/wp-content/uploads/2018/08/010.png,£73.00,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",In stock,40,7492,"Categories: Pokemon, Worm","Tags: caterpie, Shield Dust, Worm",6.4 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Caterpie” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Metapod,https://scrapeme.live/wp-content/uploads/2018/08/011.png,£148.00,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,In stock,285,2072,"Categories: Cocoon, Pokemon","Tags: Cocoon, metapod, Shed Skin",21.8 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Metapod” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Butterfree,https://scrapeme.live/wp-content/uploads/2018/08/012.png,£162.00,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",In stock,242,9507,"Categories: Butterfly, Pokemon","Tags: Butterfly, butterfree, Compound Eyes",70.5 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Butterfree” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Weedle,https://scrapeme.live/wp-content/uploads/2018/08/013.png,£25.00,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,In stock,65,7525,"Categories: Hairy Bug, Pokemon","Tags: Hairy Bug, Shield Dust, weedle",7.1 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Weedle” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Kakuna,https://scrapeme.live/wp-content/uploads/2018/08/014.png,£148.00,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",In stock,260,1049,"Categories: Cocoon, Pokemon","Tags: Cocoon, kakuna, Shed Skin",22 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Kakuna” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Beedrill,https://scrapeme.live/wp-content/uploads/2018/08/015.png,£168.00,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",In stock,125,6542,"Categories: Poison Bee, Pokemon","Tags: beedrill, Poison Bee, Swarm",65 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Beedrill” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Pidgey,https://scrapeme.live/wp-content/uploads/2018/08/016.png,£159.00,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",In stock,175,9452,"Categories: Pokemon, Tiny Bird","Tags: Keen Eye, pidgey, Tiny Bird",4 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Pidgey” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Pidgeotto,https://scrapeme.live/wp-content/uploads/2018/08/017.png,£84.00,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",In stock,120,1150,"Categories: Bird, Pokemon","Tags: Bird, Keen Eye, pidgeotto",66.1 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Pidgeotto” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Pidgeot,https://scrapeme.live/wp-content/uploads/2018/08/018.png,£185.00,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",In stock,90,8462,"Categories: Bird, Pokemon","Tags: Bird, Keen Eye, pidgeot",87.1 kg,4 x 4 x 4 cm,"Reviews
There are no reviews yet.




Be the first to review “Pidgeot” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Rattata,https://scrapeme.live/wp-content/uploads/2018/08/019.png,£128.00,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",In stock,16,1009,"Categories: Mouse, Pokemon","Tags: Mouse, rattata, Run Away",7.7 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Rattata” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Raticate,https://scrapeme.live/wp-content/uploads/2018/08/020.png,£60.00,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",In stock,204,5745,"Categories: Mouse, Pokemon","Tags: Mouse, raticate, Run Away",40.8 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Raticate” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Spearow,https://scrapeme.live/wp-content/uploads/2018/08/021.png,£133.00,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",In stock,46,1591,"Categories: Pokemon, Tiny Bird","Tags: Keen Eye, spearow, Tiny Bird",4.4 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Spearow” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Fearow,https://scrapeme.live/wp-content/uploads/2018/08/022.png,£95.00,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,In stock,276,9127,"Categories: Beak, Pokemon","Tags: Beak, fearow, Keen Eye",83.8 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Fearow” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Ekans,https://scrapeme.live/wp-content/uploads/2018/08/023.png,£55.00,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,In stock,120,5690,"Categories: Pokemon, Snake","Tags: ekans, Shed Skin, Snake",15.2 kg,6 x 6 x 6 cm,"Reviews
There are no reviews yet.




Be the first to review “Ekans” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Arbok,https://scrapeme.live/wp-content/uploads/2018/08/024.png,£182.00,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",In stock,248,9230,"Categories: Cobra, Pokemon","Tags: arbok, Cobra, Shed Skin",143.3 kg,11 x 11 x 11 cm,"Reviews
There are no reviews yet.




Be the first to review “Arbok” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Pikachu,https://scrapeme.live/wp-content/uploads/2018/08/025.png,£37.00,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,In stock,254,1333,"Categories: Mouse, Pokemon","Tags: Mouse, pikachu, Static",13.2 kg,1 x 1 x 1 cm,"Reviews
There are no reviews yet.




Be the first to review “Pikachu” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Raichu,https://scrapeme.live/wp-content/uploads/2018/08/026.png,£140.00,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,In stock,215,3488,"Categories: Mouse, Pokemon","Tags: Mouse, raichu, Static",66.1 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Raichu” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Sandshrew,https://scrapeme.live/wp-content/uploads/2018/08/027.png,£82.00,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",In stock,100,9134,"Categories: Mouse, Pokemon","Tags: Mouse, Sand Veil, sandshrew",26.5 kg,2 x 2 x 2 cm,"Reviews
There are no reviews yet.




Be the first to review “Sandshrew” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
Sandslash,https://scrapeme.live/wp-content/uploads/2018/08/028.png,£155.00,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",In stock,236,4747,"Categories: Mouse, Pokemon","Tags: Mouse, Sand Veil, sandslash",65 kg,3 x 3 x 3 cm,"Reviews
There are no reviews yet.




Be the first to review “Sandslash” Cancel reply 
Your email address will not be published. Required fields are marked *Your rating
Rate…
Perfect
Good
Average
Not that bad
Very poor
Your review *Name * 
Email *"
